InputID,Statement
1,"What are the weather issues in Kitui, Kenya and what can farmers do to protect their crops?"
2,"What are the weather issues in Kitui, Kenya and what can farmers do to protect their crops?"

3,"What are the weather issues in Bayonne, New Jersey and what can farmers do to protect their crops?"
4,What are the climate issues in Texas and what can farmers do to protect their crops?
5,"What are the climate issues in Kitui, Kenya and what can farmers do to protect their crops?"
6,"What are the climate issues in Kitui, Kenya and what can farmers do to protect their crops?"
7,"What are the climate issues in Kitui, Kenya and what can farmers do to protect their crops?"
